id,name,urgent,gramNegative,novel,company,2014,2015,2016,2017,2018,2019,2020
17,Ceftaroline + avibactam,TRUE,TRUE,FALSE,AstraZeneca PLC/Forest Laboratories Inc.,2,2,2,2d,2d,2d,2d
18,Zevtera (ceftobiprole),FALSE,TRUE,FALSE,Basilea Pharmaceutica International Ltd.,3d,3d,3d,3,3,3,3
19,CG-549,FALSE,FALSE,TRUE,CrystalGenomics Inc.,2,2,2,2,2,2,1
20,CRS3123,TRUE,FALSE,TRUE,Crestone Inc.,1,1,1,1,1,1,2
21,Dalvance (dalbavancin),FALSE,FALSE,FALSE,Durata Therapeutics Inc.,5,5,5,5,5,5,5
22,Delpazolid (LCB01-0371),FALSE,FALSE,FALSE,LegoChem Biosciences Inc./Nawei Biotechnology,1,1,1,1,1,1,2
23,DS-2969,TRUE,FALSE,FALSE,"Daiichi Sankyo Co., Ltd.",0,0,0,1,1d,1d,1d
24,EDP-788,FALSE,FALSE,FALSE,Enanta Pharmaceuticals Inc.,1d,1d,1d,1d,1d,1d,1d
25,Xerava (eravacycline),FALSE,TRUE,FALSE,Tetraphase Pharmaceuticals Inc.,3,3,3,3,5,5,5
26,ETX0282CPDP/ETX1317,TRUE,TRUE,FALSE,Entasis Therapeutics Inc.,0,0,0,0,1,1,1
27,Sulbactam + durlobactam,TRUE,TRUE,FALSE,Entasis Therapeutics Inc.,0,0,0,1,2,3,3
28,Finafloxacin,FALSE,TRUE,FALSE,MerLion Pharmaceuticals GmbH,2,2,2,2,2,2,2
29,Gepotidacin (GSK2140944),TRUE,FALSE,TRUE,GlaxoSmithKline PLC,2,2,2,2,2,3,3
30,GSK-1322322,FALSE,FALSE,TRUE,GlaxoSmithKline PLC,2d,2d,2d,2d,2d,2d,2d
31,GSK-3342830,TRUE,TRUE,FALSE,GlaxoSmithKline PLC (Shionogi licensee),0,0,1,1,1d,1d,1d
32,Iclaprim,FALSE,FALSE,FALSE,Motif Bio PLC,0,3,3,3,4,3,3d
33,Recarbrio (imipenem/cilastatin + relebactam),TRUE,TRUE,FALSE,Merck & Co. Inc.,2,3,3,3,3,5,5
34,KBP-7072,TRUE,TRUE,FALSE,KBP BioSciences Pharmaceutical Technical Co. Ltd.,0,0,1,1,1,1,1
35,Lasvic (lascufloxacin),FALSE,TRUE,FALSE,Kyorin Pharmaceutical Co. Ltd.,0,0,0,3,4,5,5
36,Xenleta (lefamulin),FALSE,FALSE,TRUE,Nabriva Therapeutics PLC,2,3,3,3,4,5,5
37,LFF571,TRUE,FALSE,TRUE,Novartis AG,2d,2d,2d,2d,2d,2d,2d
38,DNV3837/DNV3681 ,TRUE,FALSE,FALSE,Deinove SA,0,0,1,1,1,2,2
39,Nacubactam (OP0595),FALSE,TRUE,FALSE,Meiji Seika Pharma Co. Ltd.,1,1,1,1,1,1,1
40,MGB-BP-3,TRUE,FALSE,TRUE,MGB Biopharma Ltd.,0,1,1,1,1,2,2
41,Contezolid (MRX-I)/contezolid acefosamil (MRX-4),FALSE,FALSE,FALSE,MicuRx Pharmaceuticals Inc.,1,2,2,3,3,3,4
42,Murepavadin (POL7080),FALSE,TRUE,TRUE,Polyphor AG,2,2,2,2,3,3d,3d
43,Nafithromycin (WCK 4873),FALSE,FALSE,FALSE,Wockhardt Ltd.,0,1,1,2,2,2,2
44,Taigexyn (nemonoxacin),FALSE,FALSE,FALSE,TaiGen Biotechnology Co.,2,2,2,2,2,2,2
45,Nuzyra (omadacycline),FALSE,TRUE,FALSE,Paratek Pharmaceuticals Inc.,2,3,3,3,5,5,5
46,OPS-2071,TRUE,FALSE,FALSE,Otsuka Pharmaceutical Co. Ltd.,0,0,0,2,2,2d,2d
47,Orbactiv (oritavancin),FALSE,FALSE,FALSE,The Medicines Company,5,5,5,5,5,5,5
48,Zemdri (plazomicin),TRUE,TRUE,FALSE,Achaogen Inc.,3,3,3,4,5,5,5
49,Radezolid,FALSE,FALSE,FALSE,Melinta Therapeutics Inc.,2,2,2d,2d,2d,2d,2d
50,Ramoplanin,TRUE,FALSE,TRUE,Nanotherapeutics Inc.,2,2,2,2d,2d,2d,2d
51,Ridinilazole,TRUE,FALSE,TRUE,Summit Therapeutics Inc.,2,2,2,2,3,3,3
52,T-4288 (solithromycin),TRUE,FALSE,FALSE,Toyama Chemical Co. Ltd.,3,3,4,3,3,3,3
53,SPR206,TRUE,TRUE,FALSE,Spero Therapeutics Inc./Everest Medicines,0,0,0,0,1,1,1
54,SPR741,FALSE,FALSE,FALSE,Northern Antibiotics,0,0,0,1,1,1,1
55,Tebipenem/tebipenem pivoxil hydrobromide ,FALSE,TRUE,FALSE,Spero Therapeutics Inc.,0,0,0,1,3,3,3
56,Sulopenem/sulopenem etzadroxil-probenecid,TRUE,TRUE,FALSE,Iterum Therapeutics PLC,0,0,0,3,3,3,4
57,Surotomycin,TRUE,FALSE,FALSE,Merck & Co. Inc. (formerly Cubist Pharmaceuticals Inc.),3,3,3d,3d,3d,3d,3d
58,ARV-1801 (sodium fusidate),FALSE,FALSE,FALSE,Arrevus Inc.,3,3,3,3,3,2,2
59,TD-1607,FALSE,FALSE,FALSE,Theravance Biopharma Inc.,1,1,1,1d,1d,1d,1d
60,Sivextro (tedizolid),FALSE,FALSE,FALSE,Cubist Pharmaceuticals Inc.,5,5,5,5,5,5,5
61,TP-271,FALSE,TRUE,FALSE,La Jolla Pharmaceutical Company,0,0,1,1,1,1,1
62,TP-6076,TRUE,TRUE,FALSE,La Jolla Pharmaceutical Company,0,0,1,1,1,1,1
63,Vabomere (meropenem + vaborbactam),TRUE,TRUE,TRUE,The Medicines Company,3,3,3,5,5,5,5
64,EMROK/EMROK O,FALSE,FALSE,FALSE,Wockhardt Ltd.,1,1,1,2,3,4,3
65,Zabofloxacin,FALSE,FALSE,FALSE,Dong Wha Pharmaceutical Co. Ltd.,2,2,3,3,3d,3d,3d
66,Zerbaxa (ceftolozane + tazobactam),FALSE,TRUE,FALSE,Cubist Pharmaceuticals Inc.,5,5,5,5,5,5,5
67,Zoliflodacin (ETX0914),TRUE,FALSE,TRUE,Entasis Therapeutics Inc./Global Antibiotic Research and Development Partnership (GARDP),2,2,2,2,2,3,3
68,Apramycin (EBL-1003),TRUE,TRUE,FALSE,Juvabis AG,0,0,0,0,0,1,1
69,Benapenem,FALSE,TRUE,FALSE,Sihuan Pharmaceutical Co. Ltd.,0,0,0,0,0,2,3
70,OMNIvance (QPX7728),FALSE,FALSE,FALSE,Qpex Biopharma,0,0,0,0,0,1,1
71,TNP-2092,TRUE,FALSE,FALSE,TenNor Therapeutics Ltd.,0,0,0,0,0,2,2
72,TXA709/TXA707,FALSE,FALSE,TRUE,Taxis Pharmaceuticals Inc.,0,0,0,0,0,1,1
73,VNRX-7145 + ceftibuten,TRUE,TRUE,FALSE,Venatorx Pharmaceuticals Inc.,0,0,0,0,0,1,1
74,BV100,TRUE,TRUE,FALSE,BioVersys AG,0,0,0,0,0,0,1
75,Imipenem/cilastatin + XNW4107 ,FALSE,FALSE,FALSE,Suzhou Sinovent Pharmaceutical Technology Co. Ltd.,0,0,0,0,0,0,1
76,MRX-8,FALSE,FALSE,FALSE,MicuRx Pharmaceuticals Inc.,0,0,0,0,0,0,1
